fault,count,percent,registros,rpm_distintos,rpm_min,rpm_max,rpm_values,primeira_ocorrencia,ultima_ocorrencia,duracao_horas
new_rolamento_ball_0,200,0.11990695220508885,200,4,500.0,3000.0,"500, 1000, 2000, 3000",2026-06-10 19:21:16.841815+00:00,2026-06-15 22:02:22.315176+00:00,122.6848537113889
new_normal_0,200,0.11990695220508885,200,4,500.0,3000.0,"500, 1000, 2000, 3000",2026-06-10 19:59:36.565781+00:00,2026-06-15 22:09:12.522586+00:00,122.1599880013889
new_normal_1,200,0.11990695220508885,200,4,500.0,3000.0,"500, 1000, 2000, 3000",2026-06-10 21:09:32.050992+00:00,2026-06-16 10:37:21.112423+00:00,133.4636281752778
new_rolamento_outer_1,200,0.11990695220508885,200,4,500.0,3000.0,"500, 1000, 2000, 3000",2026-06-10 21:43:17.393843+00:00,2026-06-16 11:06:13.564205+00:00,133.382269545
new_rolamento_inner_1,200,0.11990695220508885,200,4,500.0,3000.0,"500, 1000, 2000, 3000",2026-06-10 22:00:33.822005+00:00,2026-06-16 10:58:18.058156+00:00,132.96228781972223
new_rolamento_comb_1,200,0.11990695220508885,200,4,500.0,3000.0,"500, 1000, 2000, 3000",2026-06-10 22:17:37.859535+00:00,2026-06-16 10:51:37.811940+00:00,132.56665344583334
new_rolamento_ball_1,200,0.11990695220508885,200,4,500.0,3000.0,"500, 1000, 2000, 3000",2026-06-10 23:09:18.545817+00:00,2026-06-16 10:44:22.095454+00:00,131.58431934361113
new_normal_2,200,0.11990695220508885,200,4,500.0,3000.0,"500, 1000, 2000, 3000",2026-06-11 00:41:55.567346+00:00,2026-06-16 11:13:29.885016+00:00,130.52619935277778
new_rolamento_ball_2,200,0.11990695220508885,200,4,500.0,3000.0,"500, 1000, 2000, 3000",2026-06-11 11:32:43.470095+00:00,2026-06-16 17:04:28.342865+00:00,125.52913132500001
new_rolamento_comb_2,200,0.11990695220508885,200,4,500.0,3000.0,"500, 1000, 2000, 3000",2026-06-11 11:49:04.375312+00:00,2026-06-16 17:11:01.534904+00:00,125.36587766444445
new_rolamento_inner_2,200,0.11990695220508885,200,4,500.0,3000.0,"500, 1000, 2000, 3000",2026-06-12 11:14:01.552346+00:00,2026-06-16 17:18:36.477918+00:00,102.07636821444444
new_normal_3,200,0.11990695220508885,200,4,500.0,3000.0,"500, 1000, 2000, 3000",2026-06-11 13:57:32.887345+00:00,2026-06-16 13:50:00.804062+00:00,119.87442131027778
new_rolamento_comb_3,200,0.11990695220508885,200,4,500.0,3000.0,"500, 1000, 2000, 3000",2026-06-11 14:13:51.816524+00:00,2026-06-16 17:55:27.729796+00:00,123.69330924222221
new_rolamento_ball_3,200,0.11990695220508885,200,4,500.0,3000.0,"500, 1000, 2000, 3000",2026-06-11 14:30:07.928397+00:00,2026-06-16 17:38:46.094497+00:00,123.14393502777777
new_rolamento_outer_3,200,0.11990695220508885,200,4,500.0,3000.0,"500, 1000, 2000, 3000",2026-06-11 15:21:53.833724+00:00,2026-06-16 17:31:33.854882+00:00,122.16111698833333
new_rolamento_inner_3,200,0.11990695220508885,200,4,500.0,3000.0,"500, 1000, 2000, 3000",2026-06-11 15:38:14.880350+00:00,2026-06-16 17:47:26.599791+00:00,122.15325540027779
new_falta_fase_0,200,0.11990695220508885,200,4,500.0,3000.0,"500, 1000, 2000, 3000",2026-06-12 12:08:00.341498+00:00,2026-06-16 14:16:37.159737+00:00,98.14356062194445
new_normal_6,200,0.11990695220508885,200,4,500.0,3000.0,"500, 1000, 2000, 3000",2026-06-12 13:54:52.081366+00:00,2026-06-12 14:14:27.427979+00:00,0.32648517027777774
new_rolamento_outer_2,200,0.11990695220508885,200,4,500.0,3000.0,"500, 1000, 2000, 3000",2026-06-12 15:16:39.038755+00:00,2026-06-16 17:26:52.766802+00:00,98.17048001305555
new_desalinhado_1,200,0.11990695220508885,200,4,500.0,3000.0,"500, 1000, 2000, 3000",2026-06-12 15:45:24.775070+00:00,2026-06-15 20:35:28.116764+00:00,76.83426158166667
new_desbalanceado_0,200,0.11990695220508885,200,4,500.0,3000.0,"500, 1000, 2000, 3000",2026-06-15 20:38:35.696151+00:00,2026-06-15 20:58:29.208630+00:00,0.3315312441666667
new_desbalanceado_1,200,0.11990695220508885,200,4,500.0,3000.0,"500, 1000, 2000, 3000",2026-06-15 20:59:40.658916+00:00,2026-06-15 21:25:11.306717+00:00,0.42517994472222226
new_desalinhado_3,200,0.11990695220508885,200,4,500.0,3000.0,"500, 1000, 2000, 3000",2026-06-16 13:00:41.712064+00:00,2026-06-16 13:19:24.602792+00:00,0.3119140911111111
new_desbalanceado_3,200,0.11990695220508885,200,4,500.0,3000.0,"500, 1000, 2000, 3000",2026-06-16 13:51:48.196099+00:00,2026-06-16 14:10:31.275903+00:00,0.3119666122222222
new_falta_fase_1,200,0.11990695220508885,200,4,500.0,3000.0,"500, 1000, 2000, 3000",2026-06-16 18:00:15.533334+00:00,2026-06-16 18:49:26.839481+00:00,0.8198072630555555
new_falta_fase_2,200,0.11990695220508885,200,4,500.0,3000.0,"500, 1000, 2000, 3000",2026-06-16 18:04:54.492486+00:00,2026-06-16 18:54:53.347924+00:00,0.8330153994444445
new_falta_fase_3,200,0.11990695220508885,200,4,500.0,3000.0,"500, 1000, 2000, 3000",2026-06-16 18:09:31.738069+00:00,2026-06-16 18:59:43.447238+00:00,0.8365858802777778
new_desalinhado_0,199,0.11930741744406341,199,4,500.0,3000.0,"500, 1000, 2000, 3000",2026-06-16 13:23:02.137672+00:00,2026-06-16 13:41:54.972526+00:00,0.3146763483333333
desalinhado_3,150,0.08993021415381665,150,3,500.0,2000.0,"500, 1000, 2000",2026-06-05 14:45:33.914323+00:00,2026-06-05 14:51:38.039821+00:00,0.10114597166666667
ventoinha_3,150,0.08993021415381665,150,3,500.0,2000.0,"500, 1000, 2000",2026-06-05 15:17:05.820673+00:00,2026-06-05 15:22:58.633680+00:00,0.09800361305555556
rolamento_combination_3,150,0.08993021415381665,150,3,500.0,2000.0,"500, 1000, 2000",2026-06-05 15:46:01.031532+00:00,2026-06-05 15:51:44.411108+00:00,0.09538321555555555
rolamento_outer_3,150,0.08993021415381665,150,3,500.0,2000.0,"500, 1000, 2000",2026-06-05 15:30:32.061540+00:00,2026-06-05 15:38:19.860694+00:00,0.12994420944444443
